id,fax_id,date,date2,container,shipper,consignee,port,country,weight,commodity,com_qty,com_unit,ship,voyage,carrier,shipments,container_total,shipments_vrac,weight_total,lat,lon
4993-0-430LEGBAREFFELS8PAQ-1,4993,3/9/2018,3/1/2018,0,LEGER ASSOCIATES,BARBARA GLESIL QUITEL,MIAMI - FL,USA,88,EFFETS PERSONNELS,8,"PAQUET, COLIS",PEPIN EXPRESS,115S,ANTILLEAN MARINE SHIPPING  CORP,1,0,1,88,25.77389,-80.193886
5002-3-433PARPAREFFELS3LOT-6,5002,3/9/2018,3/1/2018,3,PARTICULIER,PARTICULIER,MIAMI - FL,USA,70091,EFFETS PERSONNELS,3,LOTS,PEPIN EXPRESS,115S,ANTILLEAN MARINE SHIPPING  CORP,0,1,0,11682,25.77389,-80.193886
5007-0-430ROTAPOEFFELS2CAR-1,5007,3/9/2018,3/1/2018,0,ROTAB INC,APOLLO MOTORS SA,MIAMI - FL,USA,75,EFFETS PERSONNELS,2,CARTON,PEPIN EXPRESS,115S,ANTILLEAN MARINE SHIPPING  CORP,1,0,1,75,25.77389,-80.193886
5016-1-431UNIBRAENCRES1PAL-2,5016,3/9/2018,3/1/2018,1,UNIVERSAL TRADING & ENGENEERING,BRASSERIE DE LA COURONNE SA,MIAMI - FL,USA,3655,ENCRES,1,PALETTES,PEPIN EXPRESS,115S,ANTILLEAN MARINE SHIPPING  CORP,1,1,0,1828,25.77389,-80.193886
5023-0-430DOMCITCIMRES543KG-1,5023,3/10/2018,3/1/2018,0,DOMICEM SA,CITADELLE UNITED SA,RIO HAINA,Dominican Republic,5430000,"CIMENTS PULVERISES OU NON,PORTLAND,ALUMINEUX ET AUTRES",5430000,KG,TURBOCEM,V.2018-08,PDVSA RVAM,1,0,1,5430000,18.417,-70.017
5033-2-432PT.ISLINSIDE824CAR-1,5033,3/11/2018,3/1/2018,2,SINAR ANTJOL ,ISLAND DISTRIBUTION SA,JAKARTA,Indonesia,56083,"INSECTICIDES,ANTIRONGEUR,FONGICIDE,HERBICIDE",8245,CARTON,FALMOUTH,149E,COSCO SHIPPING,1,2,0,56083,-6.174444,106.829445
5043-1-431ABBREIPREANT216CAI-1,5043,3/11/2018,3/1/2018,1,ABBOTT LABORATOIRE PR,REINBOLD IMPORT-EXPORT,HONG KONG,China,11380,PREPARATIONS ALIMENTAIRES POUR BEBE ET ENFANT,2164,CAISSES,FALMOUTH,49ESUD,HAMBURG SUD NORTH AMERICA INC.,1,1,0,11380,22.283333,114.15
5051-49-4349ALLPARVOIION4UNI-1,5051,3/11/2018,3/1/2018,49,ALLIANCE INTERNATIONAL SHIPPING LLC,PARTICULIER,MIAMI - FL,USA,698110,VOITURE D'OCCASION,4,UNITES,HANSA AUGSBURG,67,SEABOARD MARINE,1,25,0,349055,25.77389,-80.193886
5060-3-433CHACHAEFFELS100CAR-5,5060,3/11/2018,3/1/2018,3,CHATELAIN CARGO SERVICES INC,CHATELAIN CARGO SERVICES INC,MIAMI - FL,USA,49169,EFFETS PERSONNELS,1005,CARTON,HANSA AUGSBURG,67,SEABOARD MARINE,0,1,0,9834,25.77389,-80.193886
5066-2-432FREDISPROANT175CAR-1,5066,3/11/2018,3/1/2018,2,FREEZETONE PRODUCTS,DISTRIBUTION PARTS & CO SA,MIAMI - FL,USA,39872,PRODUIT REFRIGERANT LIQUIDE REFROIDISSANT,1758,CARTON,HANSA AUGSBURG,67,SEABOARD MARINE,1,2,0,39872,25.77389,-80.193886
5073-6-436MOLSODSPATTI219PAQ-1,5073,3/11/2018,3/1/2018,6,MOLINO EL TRIUNFO,SODIPAL SA,CALLAO,Peru,167150,SPAGHETTI,21900,"PAQUET, COLIS",HANSA AUGSBURG,67,SEABOARD MARINE,1,6,0,167150,-12.066667,-77.15
5082-2-432SIGTHECINSUS946CAR-1,5082,3/11/2018,3/1/2018,2,SIG GLOBAL INC,THE WILLBES HAITIAN SA,MIAMI - FL,USA,12290,CINTRES POUR VETEMENTS ET TISSUS,946,CARTON,HANSA AUGSBURG,67,SEABOARD MARINE,1,2,0,12290,25.77389,-80.193886
5091-0-430WESBURMAZOUT276KG-1,5091,3/11/2018,3/1/2018,0,WEST INDIES OIL CO LTD,BUREAU DE MONESTISATION DES PROGRAMMES D'AIDE AU DEVELOPPEMENT,ANTIGUA,Antarctica,2761454,MAZOUT,2761454,KG,KOSTERBERG,V.2,PDVSA RVAM,1,0,1,2761454,17.11717,-61.84573
5098-1-431CFGSKAVEROOL210CAI-1,5098,3/12/2018,3/1/2018,1,CFGV,SKANDRA SA,LE HAVRE,France,17136,"VERMOUTH, VINS DE RAISINS FRAIS, VINS ENRICHIS D'ALCOOL",2100,CAISSES,FALMOUTH,49,HAPAG-LLOYD,1,1,0,17136,49.5,0.133333
5109-1-431MOBSUNHUIEUR288PAQ-1,5109,3/12/2018,3/1/2018,1,MOBIS PARTS AMERICA,SUNAUTO SA,MIAMI - FL,USA,9500,"HUILES LUBRIFIANTES, DE PETROLE POUR MOTEUR",2880,"PAQUET, COLIS",FALMOUTH,49,HAPAG-LLOYD,1,1,0,9500,25.77389,-80.193886
5117-1-431VIECARACCLE)269CAR-1,5117,3/12/2018,3/1/2018,1,VIETNAM GARMENTS MANUFACTURING LTD,CARIBBEAN ISLAND APPAREL SA,HO CHI MINH,Vietnam,5339,ACCESSOIRE POUR 807 PLANT (INDUSTRIE TEXTILE),2697,CARTON,FALMOUTH,49,HAPAG-LLOYD,1,1,0,5339,10.8225,106.754
