id,fax_id,date,container,shipper,consignee,port,country2,weight,commodity,com_qty,com_unit,ship,voyage,carrier,shipments,container_total,shipments_vrac,weight_total,lat,lon
65646-11-4311AROPAREFFELS219PIE-1,65646,6/8/2020,11,AROMARK SHIPPING LLC,PARTICULIER,PORT NEWARK ELIZABETH - NJ,USA,81575.21,EFFETS PERSONNELS,219,PIECES,AS LAGUNA,35N,SEABOARD MARINE,0.25,2.75,0,20393.8025,40.68155,-74.1505
65739-1-431FUJDISPARION20PAL-1,65739,6/9/2020,1,FUJITECH MOTOR PARTS,DISTRIBUTION PARTS & CO SA,QINGDAO,CHINA,17898.8,"PARTIES, ACCESSOIRE VOITURE, TRACTEUR BUS DEPANEUSE CAMION",20,PALETTES,ACRUX N,130N,EVERGREEN,1,1,0,17898.8,36.09861,120.37194
65836-1-431AMEAMEMATIRE12PAL-1,65836,6/9/2020,1,AMEX EXPORT-IMPORT GMBH,AMERICAN EMBASSY,SHANGHAI,CHINA,3012.5,MATERIELS POUR MEDECINE ET LABORATOIRE,12,PALETTES,ACRUX N,130N,MAERSK LINE,1,1,0,3012.5,31.045555,121.39972
65928-2-432DELCASPREANT832CAR-1,65928,6/11/2020,2,DELIMEX DE MEXICO SA DE C.V,CASSIS FRERES SA,MANZANILLO - MX,MEXICO,40934,PREPARATIONS ALIMENTAIRES POUR BEBE ET ENFANT,8320,CARTON,CFS PAFILIA,0RU2QR1,CMA/CGM,1,2,0,40934,19.05222,-104.31583
66023-1-431QINANKCADLES890CAR-1,66023,6/13/2020,1,QINGDAO TRI-LINK LOCK GROUP CO LTD,ANKA SA,NINGBO,CHINA,17800,"CADENA,SERRURE ,VERROUSCLES POUR CES ARTICLES",890,CARTON,POMERENIA SKY,PD023A,MEDITERRANEAN SHIPPING CO,1,1,0,17800,29.878185,121.54945
66114-1-431EVEPLRARTRIE699BAL-1,66114,6/15/2020,1,EVER BROS LIMITED,PLR DISTRIBUTION,HONG KONG,CHINA,28220,ARTICLE DE FRIPERIE,699,BALLES,PACIFIC TRADER,31E,COSCO SHIPPING,1,1,0,28220,22.283333,114.15
66203-1-431KTIGRORECQUE848CAR-1,66203,6/16/2020,1,KTI LTD,GROUP SEHSA,MIAMI - FL,USA,1548,RECIPIENT EN PLASTIQUE,848,CARTON,BUXLINK,131N,EVERGREEN,1,1,0,1548,25.77389,-80.193886
66299-1-431PILSOGVIAFRI132CAI-1,66299,6/16/2020,1,PILGRIM'S PRIDE CORP.,SOGEDIPA SA,SAVANNAH - GA,USA,27751.81,"VIANDES ET ABATS DE VOLAILLES (POULES, COQS DINDES) REFRI",1326,CAISSES,BUXLINK,131N,SEALAND,1,1,0,27751.81,32.083332,-81.1
66394-2-432JIAYVEPAROTO313CAR-1,66394,6/16/2020,2,JIANGMEN DIHAO MOTOCYCLE,YVES AUTO PARTS SA,DALIAN,CHINA,42840,PARTIES ET ACCESSOIRE DE MOTO,3134,CARTON,PACIFIC TRADER,31E,ZIM LINES,1,2,0,42840,38.912224,121.60222
66486-6-446SEAGAYEFFELS252PAQ-1,66486,6/18/2020,6,SEANAUTIC MARINE INC,GAYDEM MARINE SYSTEMS LTD,MONTREAL,CANADA,71690,EFFETS PERSONNELS,252,"PAQUET, COLIS",CFS PAFILIA,0RU2RR1,CMA/CGM,0.25,1.5,0,17922.5,45.5,-73.583336
