id,fax_id,date,container,shipper,consignee,port,country2,weight,commodity,com_qty,com_unit,ship,voyage,carrier,shipments,container_total,shipments_vrac,weight_total,lat,lon
0-1-431A NPARARTSON79PIE-1,0,1/1/2018,1,A NAIMOLI FREIGHT FORWARDING INC,PARTICULIER,PORT NEWARK ELIZABETH - NJ,USA,15717.69,"ARTICLES, ACCESSOIRE DE MAISON",79,PIECES,HANSA FREYBURG,52BIS,SEABOARD MARINE,1,1,0,15717.69,40.68155,-74.1505
80-2-432AGSDELVOIION1UNI-1,80,1/2/2018,2,AGS FRASERS TCHAD,DELEGATION DE L'UNION EUROPEENNE EN HAITI,DOUALA,CAMEROON,14900,VOITURE D'OCCASION,1,UNITES,NADJA,170R,CMA/CGM,0.5,1,0,7450,4.050278,9.7
170-2-432HELFOOAIDSES538CAR-1,170,1/3/2018,2,HELENG INTERNATIONAL CO LTD,FOOD FOR THE POOR,NINGBO,CHINA,3765,AIDES HUMANITAIRES DIVERSES,538,CARTON,TRINIDAD TRADER,100E,COSCO SHIPPING,1,2,0,3765,29.878185,121.54945
256-1-431QINLH OIGONS140SAC-1,256,1/3/2018,1,QINGDAO CINTECH INDUSTRIAL,LH COSMETIQUE,QINGDAO,CHINA,28000,OIGNONS,1400,"SACS, SACHETS",TRINIDAD TRADER,100E,ZIM LINES,1,1,0,28000,36.09861,120.37194
349-1-431JIATECGOMNES20SAC-1,349,1/5/2018,1,JIANGYIN XINGYU NEW MATERIAL CO,TECHNOPLAS SA,SHANGHAI,CHINA,22200,"GOMME LAQUE; GOMMES, RESINES",20,"SACS, SACHETS",HAMMONIA PALATIUM,752A,MEDITERRANEAN SHIPPING CO,1,1,0,22200,31.045555,121.39972
441-1-431CHOLOGMOTTES96CAR-1,441,1/7/2018,1,CHONGQING ASTRONAUTIC BASHAN MOTOCYCLE MFRG CO LTD,LOGICAL INDUSTRIES,SHANGHAI,CHINA,12930,MOTOCYCLETTES,96,CARTON,ASTURIANO,030N,EVERGREEN,1,1,0,12930,31.045555,121.39972
523-2-432CATDINMATEAU28CAR-1,523,1/7/2018,2,CATALANA DE PERFORACIONS SA,DINEPA,BARCELONA,SPAIN,30310,"MATERIEL POUR ASSAINISSEMENT, IRRIGATION, CANALISATION D'EAU",28,CARTON,NADJA,171R,CMA/CGM,1,2,0,30310,41.398373,2.1741
614-4-434GERHAIVIAFRI614CAI-1,614,1/9/2018,4,GERBER AGRI INTERNATIONAL LLC,HAITI FOOD SUPPLY SA,PORT EVERGLADES - FL,USA,79101.74,"VIANDES ET ABATS DE VOLAILLES (POULES, COQS DINDES) REFRI",6142,CAISSES,DELPHINUS,09S,KING OCEAN SERVICES,1,4,0,79101.74,26.096666,-80.1275
701-0-430FREPETMAZOUT429GAL-1,701,1/9/2018,0,FREEPOINT COMMODITIES LLC,PETROGAZ-HAITI SA,FREEPORT,BAHAMAS,0,MAZOUT,429,GALLONS,GEORGINA PG,V.94,PDVSA RVAM,1,0,1,0,26.533333,-78.7
781-2-432ONEHAIPARURE184PAQ-1,781,1/10/2018,2,ONELYE HK GROUP LIMITED,HAITI BROILER SA,SHANGHAI,CHINA,10200,PARTIES ET ACESSOIRES DE TOITURE,1844,"PAQUET, COLIS",VEGA ZETA,752E,COSCO SHIPPING,1,2,0,10200,31.045555,121.39972
875-5-435PARPAREFFELS3LOT-4,875,1/12/2018,5,PARTICULIER,PARTICULIER,MIAMI - FL,USA,44305,EFFETS PERSONNELS,3,LOTS,TANGO III,122S,ANTILLEAN MARINE SHIPPING  CORP,0.25,1.25,0,11076.25,25.77389,-80.193886
964-42-4342TERCRISUCRES420SAC-1,964,1/13/2018,42,TERMINAL DE CONTENEDORES DE BUENAVENTURA,CRISTO SA,BUENAVENTURA,COLOMBIA,1054200,SUCRES,42000,"SACS, SACHETS",ASTURIANO,031N,SEALAND,1,42,0,1054200,3.880099,-77.031166
1038-1-431JIAUNIMOTTES60CAR-1,1038,1/14/2018,1,JIANGMEN DACHANGJIANG GROUP CO LTD,UNIVERSAL MOTORS SA,CAUCEDO,DOMINICAN REPUBLIC,14170,MOTOCYCLETTES,60,CARTON,JACOB,801A,MEDITERRANEAN SHIPPING CO,1,1,0,14170,18.416667,-69.633333
1128-8-438AROPARARTSON155PIE-3,1128,1/15/2018,8,AROMARK SHIPPING LLC,PARTICULIER,PORT NEWARK ELIZABETH - NJ,USA,19458.58,"ARTICLES, ACCESSOIRE DE MAISON",155,PIECES,HANSA FREYBURG,53BIS,SEABOARD MARINE,0.333333333,2.666666667,0,6486.193333,40.68155,-74.1505
1215-0-430JAPPARBUSION6UNI-1,1215,1/17/2018,0,JAPAN CAR AND BOAT CO LTD,PARTICULIER,TOKYO,JAPAN,11530,BUS D'OCCASION,6,UNITES,VIKING PRINCESS,V.102,PDVSA RVAM,1,0,1,11530,35.616454,139.795652
1311-4-434TGDHAIMATIES122CAR-1,1311,1/18/2018,4,TGD CONSOLIDATIONS ITALIA SRL,HAITI HYDRAULIQUE ORGANISATION,GENOA,ITALY,40980,MATERIELS HYDRAULIQUES ET PARTIES,1227,CARTON,FALMOUTH,43E,ZIM LINES,1,4,0,40980,44.416668,8.95
1404-1-431EASSOLEMUIRE610SAC-1,1404,1/20/2018,1,EASTERN PETROLEUM PRIVATE LIMITED,SOLEMIR,NHAVA SHEVA,INDIA,15440,EMULSIFIANT AGRO-ALIMENTAIRE,610,"SACS, SACHETS",JPO AQUARIUS,802A,MEDITERRANEAN SHIPPING CO,1,1,0,15440,18.975,72.825836
1482-1-431SUNPARMOTURS1SKI-1,1482,1/21/2018,1,SUNSHINE STATE JDM,PARTICULIER,MIAMI - FL,USA,181.44,MOTEURS,1,"SKID, CALE, TRAINEAU",HANSA FREYBURG,54,SEABOARD MARINE,1,1,0,181.44,25.77389,-80.193886
1569-2-432SHALTDVERSSE10PAL-1,1569,1/23/2018,2,SHANDONG ZHONGHAO INDUSTRY,LTD CONSTRUCTION SA,QINGDAO,CHINA,53000,"VERRE POUR BATIMENT, CONSTRUCTION, DECORATION, VERRE MOUSSE",10,PALETTES,ASTURIANO,032N,EVERGREEN,0.5,1,0,26500,36.09861,120.37194
1665-1-431FLOCARVITERE5CAR-1,1665,1/23/2018,1,FLORIDA PURCHASING AGENCY,CARIBBEAN BOTTLING COMPANY SA,MIAMI - FL,USA,66,"VITRAGE, RIDEAU, CANTONNIERE",5,CARTON,TANGO III,123S,ANTILLEAN MARINE SHIPPING  CORP,1,1,0,66,25.77389,-80.193886
1750-2-432BTNCHAPOLENE182CAR-1,1750,1/24/2018,2,BTNH CORPORATION,CHATODO,BUSAN,SOUTH KOREA,46280.3,POLYMERES DE L'ETHYLENE,1820,CARTON,NADJA,173R,CMA/CGM,1,2,0,46280.3,35.10278,129.04028
1839-1-431PENCARTIS>30153ROU-1,1839,1/26/2018,1,PENFABRIC SDN BHD,CARIBBEAN ISLAND APPAREL SA,PENANG,MALAYSIA,9720,"TISSU POLYESTER <  70 %  , COTON >30",153,"ROULEAUX, BOBINE",FALMOUTH,44,HAPAG-LLOYD,1,1,0,9720,5.411229,100.33543
1933-6-436GILPALTISILE240PAQ-1,1933,1/26/2018,6,GILDAN ACTIVEWEAR TEXTILE COMPANY,PALM APPAREL SA,RIO HAINA,DOMINICAN REPUBLIC,106732,TISSUS ET ETOFFES POUR INDUSTRIE TEXTILE,240,"PAQUET, COLIS",VEGA SACHSEN,6,"CROWLEY LINER SERVICES,INC",1,6,0,106732,18.417,-70.017
2014-6-436TALHAIVIAFRI608CAR-3,2014,1/28/2018,6,TALETT LLC,HAITI FOOD SUPPLY SA,MIAMI - FL,USA,145338.3,"VIANDES ET ABATS DE VOLAILLES (POULES, COQS DINDES) REFRI",608,CARTON,HANSA AUGSBURG,64,SEABOARD MARINE,0.333333333,2,0,48446.1,25.77389,-80.193886
2110-1-431ZAKPRESAUONS269CAR-1,2110,1/29/2018,1,ZAKLAD DROBIARSKI LECH DROB SP ZOO,PREMIUM FOOD DISTRIBUTION (PFD),GDANSK,POLAND,28780,"SAUCISSES, SAUCISSONS",2696,CARTON,ASTURIANO,033N,MAERSK LINE,1,1,0,28780,54.36085,18.65829
2201-1-431MANKENMARLES14PAL-1,2201,1/29/2018,1,MANUTECH INC,KENSCOFF MANUFACTURING,MIAMI - FL,USA,6757,MARCHANDISE GENERALE,14,PALETTES,TANGO III,124S,ANTILLEAN MARINE SHIPPING  CORP,1,1,0,6757,25.77389,-80.193886
2298-26-4326C.IHUISUCRES260SAC-1,2298,1/31/2018,26,CI DE AZUCARES Y MIELES SA,HUILERIES HAITIENNES SA,BUENAVENTURA,COLOMBIA,654420,SUCRES,26000,"SACS, SACHETS",VEGA ZETA,755,HAPAG-LLOYD,1,26,0,654420,3.880099,-77.031166
2388-1-431UNIACICARINE33PAL-1,2388,2/2/2018,1,UNIGRES CERAMICA LTDA,ACIERIE D'HAITI SA,SANTOS,BRAZIL,53619,"CARREAU, DALLE DE REVETEMENT, EN CERAMIQUE, MOSAIQUE, PORCELAINE",33,PALETTES,FALMOUTH,45E,ZIM LINES,1,1,0,53619,-23.95,-46.333332
2476-0-430MALPARVOISUV1UNI-1,2476,2/2/2018,0,MALVAR FREIGHT FORWARDING,PARTICULIER,MIAMI - FL,USA,2435,VOITURES SUV,1,UNITES,TANGO III,125S,ANTILLEAN MARINE SHIPPING  CORP,1,0,1,2435,25.77389,-80.193886
2564-1-431COBTOPAILILS240SAC-1,2564,2/4/2018,1,COBO MADRID SL,TOPCO HAITI SA,ALGECIRAS,SPAIN,24700,AILS,2400,"SACS, SACHETS",CONTSHIP RAY,034N,MAERSK LINE,1,1,0,24700,36.13326,-5.45051
2658-1-431POLCOLMACAGE2UNI-1,2658,2/4/2018,1,POLYFORMAS SA,COLPLAS SA,SANTO THOMAS,GUATEMALA,10680,MACHINE DE COMPACTAGE,2,UNITES,HAMMONIA PALATIUM,804A,MEDITERRANEAN SHIPPING CO,1,1,0,10680,15.68666392,-88.60749757
2741-1-431GRESUNFARAIL720CAR-1,2741,2/5/2018,1,GREEN LEAF FOOD GROUP LIMITED,SUN FOODS SA,QINGDAO,CHINA,18720,FARINE D'AIL,720,CARTON,CONTSHIP RAY,34N,EVERGREEN,1,1,0,18720,36.09861,120.37194
2830-17-4317M/SCRIBISITS473CAR-1,2830,2/8/2018,17,M/S MRS BECTORS FOOD SPECIALITIES LTD,CRISTO SA,NHAVA SHEVA,INDIA,224821.33,BISCUITS,47323,CARTON,JPO AQUARIUS,805A,MEDITERRANEAN SHIPPING CO,0.5,8.5,0,112410.665,18.975,72.825836
2922-4-434XUZMSCBOIRES72PAL-1,2922,2/9/2018,4,XUZHOU EASTERN HUATAI,MSC TRADING SA,QINGDAO,CHINA,112000,"BOIS CONTRE-PLAQUES,PLAQUES,STRATIFIES SIMILAIRES",72,PALETTES,VEGA OMEGA,6E,ZIM LINES,1,4,0,112000,36.09861,120.37194
3006-3-433ONEACKPREAUX158CAR-2,3006,2/11/2018,3,ONE GLOBE INC,ACK WHOLESALE SA,MIAMI - FL,USA,34647.31,PREPARTIONS DES TYPES UTILISES POUR ALIMENTATION DES ANIMAUX,1585,CARTON,HANSA AUGSBURG,65,SEABOARD MARINE,0.333333333,1,0,11549.10333,25.77389,-80.193886
3093-1-431SHAWENSILRCE650CAR-1,3093,2/11/2018,1,SHANGHAI BOTHWIN INTERNATIONAL LOGISTIC,WENLING HONGYUAN,SHANGHAI,CHINA,26000,"SILICATES,SILICATES DES METAUX ALCALINS DU COMMERCE",650,CARTON,NADJA,175R,CMA/CGM,1,1,0,26000,31.045555,121.39972
3182-2-432EVELEBPNEUFS136CAR-1,3182,2/13/2018,2,EVERGREEN GLOBAL PTE LTD,LEBRUN SA,QINGDAO,CHINA,33009,PNEUMATIQUES NEUFS,1366,CARTON,CONTSHIP RAY,035N,EVERGREEN,1,2,0,33009,36.09861,120.37194
3270-1-431GORLA ARTION5CAR-1,3270,2/14/2018,1,GORDON COMPANIES INC,LA GENERALE CONSTRUCTION ET DIST SA,MIAMI - FL,USA,463,ARTICLE DE DECORATION,5,CARTON,SARA REGINA,087S,ANTILLEAN MARINE SHIPPING  CORP,1,1,0,463,25.77389,-80.193886
3355-3-433BIACOPFILBLE802ROU-1,3355,2/15/2018,3,BIA ALAMBRE COSTA RICA SA,COPROFER KENBE,PUERTO MOIN,COSTA RICA,61064.24,"FILS , CABLES EN ACIER INOXYDABLE",802,"ROULEAUX, BOBINE",TAJUMULCO,757H,HAPAG-LLOYD,1,3,0,61064.24,9.99074,-83.03596
3438-7-437GILQUATISILE88CAR-2,3438,2/16/2018,7,GILDAN DOMIN.REP TEXTILE COMPANY IN,QUANTUM APAREIL SA,RIO HAINA,DOMINICAN REPUBLIC,118879.14,TISSUS ET ETOFFES POUR INDUSTRIE TEXTILE,88,CARTON,VEGA SACHSEN,12,"CROWLEY LINER SERVICES,INC",0.5,3.5,0,59439.57,18.417,-70.017
3520-1-431SOUSOCVIAEES166CAR-1,3520,2/17/2018,1,SOUTH FLORIDA FOODS INT'L INC,SOCIETE DE DISTRIBUTION GENERALE SA,HOUSTON - TX,USA,25173.35,VIANDES DE PORC FRAICHES OU REFRIGEREES OU CONGELEES,1664,CARTON,JACOB,806A,MEDITERRANEAN SHIPPING CO,1,1,0,25173.35,29.763056,-95.36305
3605-1-431IDAHAIMATIRE143CAR-1,3605,2/18/2018,1,IDA FOUNDATION,HAITI MEDICINE,ANTWERP,BELGIUM,1615.35,MATERIELS POUR MEDECINE ET LABORATOIRE,143,CARTON,NADJA,176RUR,CMA/CGM,1,1,0,1615.35,51.216667,4.416667
3700-1-431MEAVILLAIDRE172CAR-1,3700,2/19/2018,1,MEAD JOHNSON NUTRICIONALES,VILLEDROUIN & CO SUCCRS,ALTAMIRA,MEXICO,16483,LAIT EN POUDRE,1728,CARTON,CONTSHIP RAY,036N,SEALAND,1,1,0,16483,22.39215,-97.93867
3785-0-430BP KIMESSEUR105GAL-1,3785,2/20/2018,0,BP PRODUCTS NORTH AMERICA INC,KIMAZOU ENERGIE SA,HOUSTON - TX,USA,3336485,ESSENCE POUR MOTEUR,1050000,GALLONS,MAERSK MAYA,V.18-502,PDVSA RVAM,1,0,1,3336485,29.763056,-95.36305
3877-1-431CARPARN/AN/A0N/A-1,3877,2/22/2018,1,CARIBBEAN EXPRESS LINE,PARTICULIER,HALIFAX,CANADA,10200,N/A,0,N/A,FALMOUTH,47E,ZIM LINES,1,1,0,10200,44.65,-63.6
3972-1-431ITNKIMPLAIRE3CAR-1,3972,2/23/2018,1,ITN CONSOLIDATORS INC,KIMAZOU ENERGIE SA,MIAMI - FL,USA,980,"PLAQUE INDICATRICE, ENSEIGNE OU SIMILAIRE",3,CARTON,BABUN EXPRESS,062S,ANTILLEAN MARINE SHIPPING  CORP,1,1,0,980,25.77389,-80.193886
4053-15-4315STSMELVIAFRI241CAR-1,4053,2/23/2018,15,STS SHIPPING AND TRADINGS,MELO PLUS,PORT EVERGLADES - FL,USA,387008.98,"VIANDES ET ABATS DE VOLAILLES (POULES, COQS DINDES) REFRI",24135,CARTON,VEGA SACHSEN,14,"CROWLEY LINER SERVICES,INC",1,15,0,387008.98,26.096666,-80.1275
4146-7-437ETSMAZARTRIE120PAQ-1,4146,2/24/2018,7,ETS HERSAND,MAZAL SA,LE HAVRE,FRANCE,107805,ARTICLE DE FRIPERIE,1203,"PAQUET, COLIS",NADJA,177R,CMA/CGM,0.5,3.5,0,53902.5,49.5,0.133333
4224-4-434SEMCARSEMAIS400SAC-1,4224,2/25/2018,4,SEMO MILLING LLC,CARIBBEAN FOOD MANUFACTURING SA,MIAMI - FL,USA,90720,SEMOULE DE MAIS,4000,"SACS, SACHETS",HANSA AUGSBURG,66,SEABOARD MARINE,1,4,0,90720,25.77389,-80.193886
4313-3-433VIALESVIAEES485CAR-1,4313,2/26/2018,3,VIANDES SEFICLO INC,LES ALIMENTS CONGELES SA,PORT NEWARK ELIZABETH - NJ,USA,76125,VIANDES DE PORC FRAICHES OU REFRIGEREES OU CONGELEES,4851,CARTON,HANSA FREYBURG,56BIS,SEABOARD MARINE,1,3,0,76125,40.68155,-74.1505
4407-1-431CHUAGEPREUES313CAR-1,4407,2/28/2018,1,CHURCH & DWIGHT CANADA CORP,AGENCES VALLIERES,HALIFAX,CANADA,12618,PREPARATIONS ET ARTICLES PHARMACEUTIQUES,3138,CARTON,VEGA OMEGA,8EVE,ZIM LINES,1,1,0,12618,44.65,-63.6
4498-1-431AIRGAZHYDUES18CYL-1,4498,3/2/2018,1,AIRGAS SOUTH,GAZ INDUSTRIELS ASSOCIES SA,MIAMI - FL,USA,2440,"HYDROGENE,GAZ RARES,AZOTE,OXYGENE,ELEMENTS NON METALLIQUES",18,CYLINDRE,BABUN EXPRESS,063S,ANTILLEAN MARINE SHIPPING  CORP,1,1,0,2440,25.77389,-80.193886
4583-35-4335C.INABSUCRES306SAC-1,4583,3/2/2018,35,CI DE AZUCARES Y MIELES SA,NATIONAL BAG AND TRADING CO SA,BUENAVENTURA,COLOMBIA,893687,SUCRES,30600,"SACS, SACHETS",JPO AQUARIUS,808A,MEDITERRANEAN SHIPPING CO,1,35,0,893687,3.880099,-77.031166
4661-1-431ISAHAIDERRES5DRU-1,4661,3/4/2018,1,ISAAC INDUSTRIES INC,HAITI FOAM SA,MIAMI - FL,USA,948.47,DERIVES HALOGENES DES HYDROCARBURES,5,DRUMS,HANSA FREYBURG,57S,SEABOARD MARINE,1,1,0,948.47,25.77389,-80.193886
4749-6-436AROPARMARLES269PIE-2,4749,3/5/2018,6,AROMARK SHIPPING LLC,PARTICULIER,PORT NEWARK ELIZABETH - NJ,USA,80969.94,MARCHANDISE GENERALE,269,PIECES,HANSA AUGSBURG,66BIS,SEABOARD MARINE,0.333333333,2,0,26989.98,40.68155,-74.1505
4843-1-431HONPERMOTTES58CAR-1,4843,3/7/2018,1,HONDA MOTOR CO LTD,PERFECTA SA,SHANGHAI,CHINA,8896,MOTOCYCLETTES,58,CARTON,CONTSHIP RAY,038N,EVERGREEN,1,1,0,8896,31.045555,121.39972
4937-1-431F.VMSCEVISET153PAQ-1,4937,3/7/2018,1,F.V. AREA ANDINA SA,MSC TRADING SA,GUAYAQUIL,ECUADOR,18300,"EVIER, LAVABO, BAIGNOIRE, WATER-CLOSET",1532,"PAQUET, COLIS",CONTSHIP RAY,038N,SEALAND,1,1,0,18300,-2.203816,-79.897453
5023-0-430DOMCITCIMRES543KG-1,5023,3/10/2018,0,DOMICEM SA,CITADELLE UNITED SA,RIO HAINA,DOMINICAN REPUBLIC,5430000,"CIMENTS PULVERISES OU NON,PORTLAND,ALUMINEUX ET AUTRES",5430000,KG,TURBOCEM,V.2018-08,PDVSA RVAM,1,0,1,5430000,18.417,-70.017
5109-1-431MOBSUNHUIEUR288PAQ-1,5109,3/12/2018,1,MOBIS PARTS AMERICA,SUNAUTO SA,MIAMI - FL,USA,9500,"HUILES LUBRIFIANTES, DE PETROLE POUR MOTEUR",2880,"PAQUET, COLIS",FALMOUTH,49,HAPAG-LLOYD,1,1,0,9500,25.77389,-80.193886
5201-11-4311AROPARVOIION13UNI-1,5201,3/12/2018,11,AROMARK SHIPPING LLC,PARTICULIER,PORT NEWARK ELIZABETH - NJ,USA,153156,VOITURE D'OCCASION,13,UNITES,HANSA FREYBURG,57BIS,SEABOARD MARINE,0.25,2.75,0,38289,40.68155,-74.1505
5288-1-431SILAIRVOISUV1UNI-1,5288,3/13/2018,1,SILVER FREIGHT LOGISTIC SRL,AIR COURRIER & SHIPPING,BUENOS AIRES,ARGENTINA,2402.5,VOITURES SUV,1,UNITES,SANDWIG,179R,CMA/CGM,1,1,0,2402.5,-34.603722,-58.381592
5379-1-431AIRTELMARLES470CAR-1,5379,3/14/2018,1,AIR ET MER HAITI CARGO,TELO DEPOT,MANZANILLO - PA,PANAMA,10000,MARCHANDISE GENERALE,470,CARTON,VEGA ZETA,761N,"CROWLEY LINER SERVICES,INC",1,1,0,10000,9.364915,-79.88098
5465-0-430TEMDINREVIRS1PAL-1,5465,3/16/2018,0,TEMCO INTERNATIONAL CORP,DISTRIBUTEURS NATIONAUX SA,MIAMI - FL,USA,346,REVETEMENTS DE PROTECTION DES RESERVOIRS,1,PALETTES,PEPIN EXPRESS,116S,ANTILLEAN MARINE SHIPPING  CORP,1,0,1,346,25.77389,-80.193886
5556-10-4310RELLESRESIRE200SAC-1,5556,3/17/2018,10,RELIANCE INDUSTRIES LIMITED,LES ENTREPRISES PLASTECH HAITI SA,AHMEDABAD,INDIA,231649,"RESINES PETROLE,COUMARONE,POLYTERPENE,POLYSUFURE...,PRIMAIRE",200,"SACS, SACHETS",CONTSHIP PRO,028K,CMA/CGM,1,10,0,231649,23.0333331,72.61667
5643-1-431WINCARTISILE224PIE-1,5643,3/17/2018,1,WINNITEX LTD,CARIBBEAN ISLAND APPAREL SA,HONG KONG,CHINA,21976,TISSUS ET ETOFFES POUR INDUSTRIE TEXTILE,224,PIECES,CONTSHIP RAY,039N,EVERGREEN,1,1,0,21976,22.283333,114.15
5728-3-433TALHAIVIAFRI141CAR-2,5728,3/18/2018,3,TALETT LLC,HAITI FOOD SUPPLY SA,MIAMI - FL,USA,70895.59,"VIANDES ET ABATS DE VOLAILLES (POULES, COQS DINDES) REFRI",1414,CARTON,HANSA FREYBURG,58,SEABOARD MARINE,0.5,1.5,0,35447.795,25.77389,-80.193886
5813-0-430ATLDINESSEUR223GAL-1,5813,3/20/2018,0,ATLANTIC TRADING INC,DISTRIBUTEURS NATIONAUX SA,HOUSTON - TX,USA,6420913,ESSENCE POUR MOTEUR,2238000,GALLONS,BW PUMA,V.24,PDVSA RVAM,1,0,1,6420913,29.763056,-95.36305
5906-1-431MOMANIMARLES248CAR-1,5906,3/23/2018,1,MOMA GROUP LIMITED,ANISEED SHOP,DALIAN,CHINA,14610,MARCHANDISE GENERALE,2487,CARTON,CFS PANJANG,66E,ZIM LINES,1,1,0,14610,38.912224,121.60222
5995-0-430LUCCOMMARLES4PAL-1,5995,3/23/2018,0,LUCKETT HOLDINGS INC,COMPAGNIES DES TABACS COMME IL FAUT SA,MIAMI - FL,USA,288,MARCHANDISE GENERALE,4,PALETTES,PEPIN EXPRESS,117S,ANTILLEAN MARINE SHIPPING  CORP,1,0,1,288,25.77389,-80.193886
6074-1-431BUNPROCAFERE4SKI-1,6074,3/25/2018,1,BUNN-O-MATIC CORPORATION,PRODUITS DES ILES SA,MIAMI - FL,USA,867.73,CAFETIERE,4,"SKID, CALE, TRAINEAU",HANSA AUGSBURG,68,SEABOARD MARINE,1,1,0,867.73,25.77389,-80.193886
6152-2-432KASCLDOIGONS252SAC-1,6152,3/26/2018,2,KASSAV INTERNATIONAL CLDS INC,CLDS ECONOPRIX SA,ROTTERDAM,NETHERLANDS,57152.63,OIGNONS,2520,"SACS, SACHETS",CONTISHIP RAY,041N,MAERSK LINE,1,2,0,57152.63,51.916668,4.5
6245-6-436LAMSOGVIAFRI772CAR-1,6245,3/26/2018,6,LAMEX FOODS INC,SOGEDIPA SA,SAVANNAH - GA,USA,147112.38,"VIANDES ET ABATS DE VOLAILLES (POULES, COQS DINDES) REFRI",7722,CARTON,CONTSHIP RAY,041N,SEALAND,1,6,0,147112.38,32.083332,-81.1
6331-1-431LUOVALMARLES818CAR-1,6331,3/26/2018,1,LUOYANG YISHENGDA IMP & EXP CO LTD,VALERIO CANEZ SA,NINGBO,CHINA,10044,MARCHANDISE GENERALE,818,CARTON,SANDWIG,181R,CMA/CGM,1,1,0,10044,29.878185,121.54945
6422-2-432YOUPACTISILE185BAL-1,6422,3/27/2018,2,YOUNG CHEON LOGISTICS CO LTD,PACIFIC SPORTS HAITI SA,NINGBO,CHINA,31982,TISSUS ET ETOFFES POUR INDUSTRIE TEXTILE,1858,BALLES,TAJUMULCO,763E,COSCO SHIPPING,1,2,0,31982,29.878185,121.54945
6502-0-430ADOPARFILOLE1PAL-1,6502,4/1/2018,0,ADOMI PURCHASING AGENCY,PARTICULIER,MIAMI - FL,USA,558,"FIL,CABLE,CONDUCTEUR ELECTRIQUE ISOLE",1,PALETTES,TANGO III,130S,ANTILLEAN MARINE SHIPPING  CORP,1,0,1,558,25.77389,-80.193886
6589-1-431KIPLESVIAFRI250CAR-1,6589,4/2/2018,1,KIPCO-DAMACO NV,LES ALIMENTS CONGELES SA,FELIXSTOWE,UNITED KINGDOM,26550,"VIANDES ET ABATS DE VOLAILLES (POULES, COQS DINDES) REFRI",2500,CARTON,CONTSHIP RAY,042N,MAERSK LINE,1,1,0,26550,51.966667,1.35
6677-1-431GUARECARTRIE640CAR-1,6677,4/3/2018,1,GUANGZHOU WONXU CARGO CO LTD,RECENT,NANSHA,CHINA,28500,ARTICLE DE FRIPERIE,640,CARTON,CONTSHIP RAY,042N,EVERGREEN,1,1,0,28500,22.635563,113.676872
6765-2-432IFBCARVOIION3UNI-1,6765,4/5/2018,2,IFB INTERNATIONAL FREIGHT BRIDGE,CARIMPEX,LE HAVRE,FRANCE,6780,VOITURE D'OCCASION,3,UNITES,SANDWIG,182R,CMA/CGM,1,2,0,6780,49.5,0.133333
6854-0-430FLOIMPENVISE10CAR-2,6854,4/6/2018,0,FLORIDA PAPER AND GRAPHIC SUPPLIES,IMPRIMERIE LE NATAL,MIAMI - FL,USA,342,ENVELOPPE ET CHEMISE,10,CARTON,BABUN EXPRESS,067S,ANTILLEAN MARINE SHIPPING  CORP,0.5,0,0.5,171,25.77389,-80.193886
6938-1-431SOUTASVIAFRI140CAR-1,6938,4/6/2018,1,SOUTH FLORIDA FOODS INT'L INC,TASHA FOOD,PORT EVERGLADES - FL,USA,26671.68,"VIANDES ET ABATS DE VOLAILLES (POULES, COQS DINDES) REFRI",1400,CARTON,VEGA SACHSEN,26,"CROWLEY LINER SERVICES,INC",1,1,0,26671.68,26.096666,-80.1275
7024-1-431NIACONAIDSES40PAQ-1,7024,4/8/2018,1,NIAGARA DISTRIBUTORS INC,CONGREGATION DES SALESIENS,MIAMI - FL,USA,18898,AIDES HUMANITAIRES DIVERSES,40,"PAQUET, COLIS",HAMMONIA PALATIUM,812R,MEDITERRANEAN SHIPPING CO,1,1,0,18898,25.77389,-80.193886
7105-1-431EMEVALMARLES749PIE-1,7105,4/8/2018,1,EMEX INC,VAL SERVICE,MIAMI - FL,USA,10954.89,MARCHANDISE GENERALE,749,PIECES,HANSA AUGSBURG,69,SEABOARD MARINE,1,1,0,10954.89,25.77389,-80.193886
7201-9-439ARJPARARTSON900PIE-3,7201,4/9/2018,9,ARJE LOGISTICS,PARTICULIER,PORT NEWARK ELIZABETH - NJ,USA,147078.83,"ARTICLES, ACCESSOIRE DE MAISON",900,PIECES,HANSA FREYBURG,59BIS,SEABOARD MARINE,0.333333333,3,0,49026.27667,40.68155,-74.1505
7285-4-434GLOSOCVIAFRI726CAR-1,7285,4/9/2018,4,GLOBEX INTERNATIONAL INC,SOCIETE DE DISTRIBUTION GENERALE SA,SAVANNAH - GA,USA,56628,"VIANDES ET ABATS DE VOLAILLES (POULES, COQS DINDES) REFRI",7260,CARTON,YERUPAJA,765A,MEDITERRANEAN SHIPPING CO,1,4,0,56628,32.083332,-81.1
7376-1-431ALPPEHDIC MG150CAR-2,7376,4/11/2018,1,ALPA LABORATOIRES LIMITED,PEHACHEVE SA,NHAVA SHEVA,INDIA,14625,DICLOFENAC 50 MG,150,CARTON,SANDWIG,183RUR,CMA/CGM,0.333333333,0.333333333,0,4875,18.975,72.825836
